sku,name,nature,category,brand,sale_price,location,min_stock,barcode,unit,notes
2000214,Kto.Foto.AR,TRABAJO_BAJO_PEDIDO,Cristales,Laboratorio Servi Optical,,,,,UNIDAD,origen: PILAR=P2 - Inventario.xlsx#869@2026-08-10
2000215,Kto.Foto,TRABAJO_BAJO_PEDIDO,Cristales,Laboratorio Optilab,,,,,UNIDAD,origen: PILAR=P2 - Inventario.xlsx#870@2026-08-10
2000216,Kto.Foto Blue AR,TRABAJO_BAJO_PEDIDO,Cristales,Laboratorio Servi Optical,,,,,UNIDAD,origen: PILAR=P2 - Inventario.xlsx#871@2026-08-10
2000217,Policarbonato Blanco,TRABAJO_BAJO_PEDIDO,Cristales,Laboratorio Servi Optical,,,,,UNIDAD,origen: PILAR=P2 - Inventario.xlsx#872@2026-08-10
2000218,Policarbonato AR,TRABAJO_BAJO_PEDIDO,Cristales,Laboratorio Optilab,,,,,UNIDAD,origen: PILAR=P2 - Inventario.xlsx#873@2026-08-10
2000219,Multiblue Foto Ar,TRABAJO_BAJO_PEDIDO,Cristales,Laboratorio Optilab,,,,,UNIDAD,origen: PILAR=P2 - Inventario.xlsx#880@2026-08-10
2000227,Progresivo Rodensto,TRABAJO_BAJO_PEDIDO,Cristales,Laboratorio Optilab,,,,,UNIDAD,origen: PILAR=P2 - Inventario.xlsx#866@2026-08-10
2000239,POLIBLUE,TRABAJO_BAJO_PEDIDO,Cristales,FENIX,,,,,UNIDAD,origen: PILAR=P2 - Inventario.xlsx#867@2026-08-10
300650370707,Opti free Puremoist 90ml,PRODUCTO_STOCKEABLE,Líquidos Multipropósitos,OptiFree,,,,,UNIDAD,origen: ASUNCION=PC - Inventario.xlsx#8415@2026-08-03 | PILAR=P2 - Inventario.xlsx#1027@2026-08-10
300653145470,Opti free Express 355ml,PRODUCTO_STOCKEABLE,Líquidos Multipropósitos,Optifree,,,,,UNIDAD,variante en PILAR (P2 - Inventario.xlsx fila 1023): Optifree Express 355ml || origen: ASUNCION=PC - Inventario.xlsx#8399@2026-08-03 | PILAR=P2 - Inventario.xlsx#1023@2026-08-10
